ticker,date,expiry,option_type,moneyness,strike,timestamp,open,high,low,close,volume
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:15:00,18.0,18.9,15.0,18.0,5250
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:16:00,17.85,17.85,17.35,17.35,14000
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:17:00,17.25,18.2,17.25,18.2,20500
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:18:00,19.85,20.9,19.75,20.75,36500
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:19:00,21.45,21.6,19.5,19.5,37750
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:20:00,19.0,19.0,17.6,17.6,16000
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:21:00,17.9,17.9,17.3,17.3,8500
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:22:00,16.0,16.4,14.0,14.2,8000
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:23:00,15.5,16.25,15.5,16.25,10250
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:24:00,16.9,18.05,16.9,18.05,5000
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:25:00,16.0,16.9,16.0,16.9,3750
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:26:00,17.5,18.0,17.5,18.0,2250
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:27:00,20.45,20.45,19.7,19.7,2750
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:28:00,18.45,18.95,18.45,18.95,14000
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:29:00,17.25,18.75,17.25,18.75,4500
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:30:00,19.55,19.9,18.65,19.35,7500
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:31:00,19.4,21.55,19.0,19.0,14750
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:32:00,18.8,19.65,18.45,18.95,6250
ACC,2023-02-21,2023-02-23,CALL,OTM2,1880,2023-02-21 09:33:00,19.45,21.0,18.8,20.75,7750
